"country","2000_tb_deaths_per_100k","2001_tb_deaths_per_100k","2002_tb_deaths_per_100k","2003_tb_deaths_per_100k","2004_tb_deaths_per_100k","2005_tb_deaths_per_100k","2006_tb_deaths_per_100k","2007_tb_deaths_per_100k","2008_tb_deaths_per_100k","2009_tb_deaths_per_100k","2010_tb_deaths_per_100k","2000_gov_health_spending_usd","2001_gov_health_spending_usd","2002_gov_health_spending_usd","2003_gov_health_spending_usd","2004_gov_health_spending_usd","2005_gov_health_spending_usd","2006_gov_health_spending_usd","2007_gov_health_spending_usd","2008_gov_health_spending_usd","2009_gov_health_spending_usd","2010_gov_health_spending_usd"
"Albania",0.74,0.66,0.64,0.62,0.86,0.41,0.38,0.56,0.57,0.21,0.35,27.2,30.5,32.5,40.6,63.9,71.4,75.5,88.8,109,107,94
"Algeria",8.2,8,8.2,8.4,8.4,8.9,8.7,8.6,8.2,8.5,8.6,45.9,52.5,54.1,62.6,63.2,69.3,81.7,109,148,143,139
"Andorra",1.7,1.4,0.67,1.4,0.87,1.2,1.4,0.57,0.45,0.9,0.78,862,890,1020,1300,1520,1630,1850,2100,2370,2360,2170
"Angola",87,91,78,73,86,95,74,91,99,99,107,12.5,18.3,14.3,19.4,19.7,27.1,50.9,68.4,126,181,102
"Antigua and Barbuda",1.3,1.3,1.3,1.3,1.1,1.9,2,1.3,1.2,1.6,2.9,281,266,267,279,291,305,351,397,409,403,490
"Argentina",2.9,2.7,2.7,2.5,2.3,2.3,2.2,2.2,2,2,1.7,382,367,121,148,174,217,259,334,437,488,405
"Armenia",5.6,5.3,6.1,5.7,6.1,6.7,7,7.2,6.9,6,5.9,7.07,11,10.6,13.9,16.3,23.6,33,48.3,63.5,56,54.2
"Australia",0.38,0.52,0.42,0.33,0.38,0.35,0.34,0.28,0.34,0.3,0.28,1150,1080,1240,1540,1920,2100,2220,2670,2880,2680,3250
"Austria",1.1,0.85,0.97,0.68,0.66,0.75,0.76,0.63,0.65,0.63,0.51,1820,1820,1950,2410,2790,2920,3040,3520,3980,3910,3840
"Azerbaijan",19,18,16,15,12,9.8,7.3,4.7,6.5,8.3,9,5.64,5.9,5.96,7.21,10.5,13.6,20.8,36.7,45,65.4,67.3
"Bahamas",6.3,4.4,3,2,3.8,2.6,2.7,1.7,2.4,1.5,1.5,523,524,556,582,633,635,804,805,829,815,791
"Bahrain",2.7,1.8,1.7,0.43,1.4,1.2,0.58,1.1,0.86,0.83,0.94,336,354,386,428,444,475,485,513,565,540,634
"Bangladesh",71,72,70,69,66,60,54,54,53,51,53,24.2,27.1,29.4,30.4,33.7,37.4,43,47.4,49.1,53.1,58
"Barbados",0.55,0.84,0.65,0.92,1.5,1.1,1.3,1.7,0.6,0.44,0.62,396,429,459,456,472,498,543,560,628,494,652
"Belarus",8.1,9.3,11,12,12,12,11,11,10,9.6,9.8,47.9,58.5,66.8,87.5,115,154,168,207,243,199,248
"Belgium",1.2,1.2,0.98,1.1,0.88,0.99,0.71,0.93,0.85,0.64,0.69,1380,1410,1530,2250,2680,2750,2690,3070,3560,3570,3450
"Belize",3,7.9,6.2,6.3,3.8,3.6,5.6,3.2,6.1,4.9,5.6,69.5,88,87.2,95.4,96.5,105,113,133,138,154,150
"Benin",25,24,22,20,19,17,15,15,14,14,15,6.94,8.58,7.64,11,11.9,13.4,14.3,16,17,18,15
